,gameid,gamelength,result,k,d,a,teamkills,teamdeaths,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
gameid,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minionkills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.760528720964988,0.7578416846894384,-0.5075366458451123,-0.7346662210583539,-0.8131074736502237,,,,,0.6624503408227673,0.6811739861691432,0.6581733893156915,,1.0,,,,0.8730956433185938,0.6036011956495492,0.5608170188097108,,0.6522070875020312,0.602868185436759,,0.5089691017987275,,
monsterkills,,,,,,,,,,,,,,,,0.5495102271797903,,,,0.5209263924247437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9710336457098434,0.6380927314902898,,,,,,,,,,
monsterkillsownjungle,,,,,,,,,,,,,,,,0.5436932803084514,,,,,0.5165177905434142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9710336457098434,1.0,0.5212094566763468,,,,,,,,,,
monsterkillsenemyjungle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6380927314902898,0.5212094566763468,1.0,,,,,,,,,,
cspm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6083371226261498,0.7346909307089979,-0.6896070849433508,-0.8341378812530937,-0.8771328776425412,,,-0.5830602968152265,-0.6044577071697403,,0.721462651873744,,,0.8730956433185938,,,,1.0,0.7617538508376127,0.6899301696667023,,0.7911401553795376,0.708748459965082,,0.5828054020629125,0.5503393858592168,
goldat10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5657853358399356,-0.503079909766242,-0.6124703551348791,-0.6650657305551109,,,,,,0.5956909384806762,,,0.6036011956495492,,,,0.7617538508376127,1.0,0.5757423402277584,,0.9052857521772031,0.5679713085968481,,0.624150737898111,,
oppgoldat10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5048550946164311,-0.6166689191982454,-0.6379047791721856,,,,,,,,,0.5608170188097108,,,,0.6899301696667023,0.5757423402277584,1.0,,0.5679713085968482,0.9052857521772029,,,0.6241507378981107,
gdat10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.7690365599312393,,,0.6000623001945361
goldat15,,,,0.5202254933032382,,,,,,,,,0.5496856020271227,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5072265361467599,0.6354473367232145,-0.5444509705907759,-0.6468408316433849,-0.6991344781864062,,,,,,0.7307503704363884,,,0.6522070875020312,,,,0.7911401553795376,0.9052857521772031,0.5679713085968482,,1.0,0.5465324544073973,,0.5689559529094551,,
oppgoldat15,,,,,,,,,,,,,,0.5496856020271226,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5619989290095203,-0.6762928416519399,-0.68193437909652,,,,,,,,,0.602868185436759,,,,0.708748459965082,0.5679713085968481,0.9052857521772029,,0.5465324544073973,1.0,,,0.5689559529094551,
gdat15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5077278137621419,,,,,,,,,,,,,,,,,,,,,,0.6165898825521507,,,,,,,,0.7690365599312393,,,1.0,,,
xpat10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5115365914853388,-0.5350042995442366,,,,,,,,,0.5089691017987275,,,,0.5828054020629125,0.624150737898111,,,0.5689559529094551,,,1.0,0.8861122470859035,
oppxpat10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5092753367192839,-0.5196690128663645,,,,,,,,,,,,,0.5503393858592168,,0.6241507378981107,,,0.5689559529094551,,0.8861122470859035,1.0,
xpdat10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6000623001945361,,,,,,1.0
